GOODNO,SUCCYMD,CARNM,CHASNO,CARREGIYMD,YEAR,MISSNM,FUELNM,COLOR,EXHA,TRAVDIST,USEUSENM,OWNECLASNM,INNEEXPOCLASCD_YN,NEWCARPRIC,SUCCPRIC,YEARCHK,BONET,FRONT_LEFT_FENDER,FRONT_RIGHT_FENDER,FRONT_LEFT_DOOR,FRONT_RIGHT_DOOR,BACK_LEFT_DOOR,BACK_RIGHT_DOOR,TRUNK,FRONT_PANNEL,LEFT_STEP,RIGHT_STEP,LEFT_FILER_A,RIGHT_FILER_A,LEFT_FILER_B,RIGHT_FILER_B,LEFT_FILER_C,RIGHT_FILER_C,LEFT_REAR_FENDER,RIGHT_REAR_FENDER,BACK_PANEL1,LEFT_INSIDE_PANEL,RIGHT_INSIDE_PANEL,LEFT_WHEEL_HOUSE,RIGHT_WHEEL_HOUSE,LEFT_INSIDE_WHEEL_HOUSE,RIGHT_INSIDE_WHEEL_HOUSE,LEFT_REAR_WHEEL_HOUSE,RIGHT_REAR_WHEEL_HOUSE,TRUNK_FLOOR,DASH_PANEL,SHEET_PANEL,SIDE_MEMBER_FRAME,LEFT_QUARTER,RIGHT_QUARTER,FLOOR_PANEL,LEFT_SIDE_PANEL,RIGHT_SIDE_PANEL,LEFT_REAR_CORNER_PANEL,RIGHT_REAR_CORNER_PANEL,BACK_PANEL2,LEFT_CORNER_PANEL,RIGHT_CORNER_PANEL,LEFT_SKIRT_PANEL,RIGHT_SKIRT_PANEL,SIDE_MEMBER_FRAME2,LEFT_INSIDE_SHEETING,RIGHT_INSIDE_SHEETING,LEFT_WHEEL_HOUSE_SHEETING,RIGHT_WHEEL_HOUSE_SHEETING,LEFT_REAR_INSIDE_PANEL_SHEETING,RIGHT_REAR_INSIDE_PANEL_SHEETING,LEFT_REAR_WHEEL_HOUSE_SHEETING,RIGHT_REAR_WHEEL_HOUSE_SHEETING,TRUNK_FLOOR_SHEETING,DASH_PANEL_SHEETING,SHEET_BACK_PANEL_SHEETING,SIDE_MEMBER_FRAME_SHEETING,FLOOR_PANEL_SHEETING,LEFT_SIDE_PANEL_SHEETING,RIGHT_SIDE_PANEL_SHEETING,FLOODING,TOTAL_LOSS,JOINCAR,NOTAVAILABLE,MF_KEY,MJ_MODEL_KEY,DT_MODEL_KEY,MJ_GRADE_KEY,DT_GRADE_KEY,NC_GRADE_KEY,SHIPPING_PRICE,NC_GRADE_PRICE,ABS,AB2,NAVIGATION,VDC,SMARTKEY,SUNLOOPPANORAMA,SUNLOOPCOMMON,SUNLOOPDUAL,DIS,TCS,AB1,ETC,AV,EPS,ECS
1905C0492,20190523,레이 1.0 가솔린 VAN ,KNACF911BET081406,20140326,2014,A/T,가솔린,D,998,83262,리스,법인상품,X,11890000,3400000,Y,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,42,233,9158,36817,13490,,11890000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1905C0543,20190523,레이 1.0 가솔린 VAN ,KNACF911BET078725,20140312,2014,A/T,가솔린,D,998,62908,리스,법인상품,X,11890000,4200000,Y,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,42,233,9158,36817,13490,,11890000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1905C0562,20190523,레이 1.0 가솔린 VAN ,KNACF911BET078937,20140313,2014,A/T,가솔린,D,1000,54133,리스,법인상품,X,11890000,4600000,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,42,233,9158,36817,13490,,11890000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1905C0569,20190523,레이 1.0 가솔린 VAN ,KNACF911BET081214,20140326,2014,A/T,가솔린,D,998,49490,리스,법인상품,X,11890000,5030000,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,42,233,9158,36817,13490,,11890000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1905C0511,20190523,레이 1.0 가솔린 VAN ,KNACF911BET080067,20140227,2014,A/T,가솔린,D,998,81308,리스,법인상품,X,11890000,3730000,Y,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,42,233,9158,36817,13490,,11890000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1905C0493,20190523,레이 1.0 가솔린 VAN ,KNACF911BET080933,20140228,2014,A/T,가솔린,D,998,105163,리스,법인상품,X,11890000,3200000,Y,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,42,233,9158,36817,13490,,11890000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1905C0181,20190523,레이 1.0 가솔린 VAN ,KNACF911BET080141,20140228,2014,A/T,가솔린,D,998,47757,업무,법인상품,X,1,4400000,Y,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,42,233,9158,36817,13490,12110000,11890000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1905C0937,20190523,레이 1.0 가솔린 디럭스 ,KNACK813EET080091,20140210,2014,A/T,가솔린,A,999,111209,자가,법인상품,X,1,6200000,Y,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,42,233,9160,21252,17835,15700000,15700000,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
1905C0307,20190523,더뉴K5 2.0 LPI 렌터카 디럭스 ,KNAGN418BFA623654,20150515,2015,A/T,LPG,B,1999,86488,렌트,법인상품,X,16370000,5810000,Y,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,2,38,935,5789,23037,17401,17670000,17450000,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
1905C0884,20190523,모닝 SLX 뷰티 ,KNABA24438T597347,20080401,2008,A/T,가솔린,C,1000,53287,자가,법인상품,X,1,2400000,Y,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,46,28,4890,18050,5788,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
